year,month,state,locality,lat,lon,individualCount,dataSource
2019,4,Western Australia,,-32.053333,115.726112,1,iNaturalist Australia
2024,3,New South Wales,,-33.797471,151.296477,1,iNaturalist Australia
2022,11,Victoria,,-38.366229,144.822958,1,iNaturalist Australia
2023,2,New South Wales,,-34.59596,150.901839,1,iNaturalist Australia
2024,4,Victoria,,-38.191442,144.713361,1,iNaturalist Australia
2017,8,New South Wales,,-33.800626,151.297311,1,iNaturalist Australia
2022,11,New South Wales,,-33.915508,151.26385,1,iNaturalist Australia
2024,2,New South Wales,,-33.799328,151.294691,1,iNaturalist Australia
2025,1,South Australia,,-35.11834,138.46816,1,iNaturalist Australia
2021,8,New South Wales,,-33.799057,151.282034,1,iNaturalist Australia
2023,4,Victoria,,-38.35729,144.772201,1,iNaturalist Australia
2020,10,Western Australia,,-33.638971,115.341232,1,iNaturalist Australia
2026,2,Western Australia,,-32.024961,115.523882,1,iNaturalist Australia
2024,11,South Australia,,-35.522854,138.185421,1,iNaturalist Australia
2025,12,Victoria,,-37.885622,147.877908,1,iNaturalist Australia
2021,2,Western Australia,,-32.05178,115.725942,1,iNaturalist Australia
2025,1,Western Australia,,-32.52068,115.710517,1,iNaturalist Australia
2022,10,Tasmania,,-41.017192,145.788528,1,iNaturalist Australia
2019,3,Victoria,,-37.932158,144.99011,1,iNaturalist Australia
2022,1,South Australia,,-35.251734,136.970415,1,iNaturalist Australia
2025,10,New South Wales,,-33.799977,151.296499,1,iNaturalist Australia
2020,10,South Australia,,-35.038735,138.514171,1,iNaturalist Australia
2025,12,Victoria,,-38.505785,145.258986,1,iNaturalist Australia
2022,1,Western Australia,,-32.040036,115.734487,1,iNaturalist Australia
2022,1,New South Wales,,-33.800249,151.293976,1,iNaturalist Australia
2022,3,Western Australia,,-32.051989,115.725662,1,iNaturalist Australia
2022,11,South Australia,,-35.339199,138.444577,1,iNaturalist Australia
2018,6,Victoria,,-38.356975,144.772383,1,iNaturalist Australia
2022,7,Western Australia,,-32.076273,115.751364,1,iNaturalist Australia
2026,2,Western Australia,,-32.109866,115.762121,1,iNaturalist Australia
2025,3,New South Wales,,-35.85825,150.182522,1,iNaturalist Australia
2020,3,New South Wales,,-33.992135,151.22987,1,iNaturalist Australia
2025,4,Western Australia,,-32.137071,115.744474,1,iNaturalist Australia
2021,8,New South Wales,,-33.800608,151.297356,1,iNaturalist Australia
2023,4,Victoria,,-38.365612,144.823134,1,iNaturalist Australia
2023,6,Victoria,,-38.335975,144.746456,1,iNaturalist Australia
2019,9,New South Wales,,-32.85045,151.933459,1,iNaturalist Australia
2023,3,South Australia,,-35.08476,137.749808,1,iNaturalist Australia
2018,11,New South Wales,,-33.800119,151.295053,1,iNaturalist Australia
